ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; School Type [Public School] (All Years: 2018-19): 1-Regular school 2-Special education school; Grade 12 offered [Public School] (All Years: 2018-19): Yes

School Name,State Name [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2018-19,Web Site URL [Public School] 2018-19,Phone Number [Public School] 2018-19,School Type [Public School] 2018-19,Grade 12 offered [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Male Students [Public School] 2018-19,Female Students [Public School] 2018-19,Two or More Races Students [Public School] 2018-19,Hawaiian Nat./Pacific Isl. Students [Public School] 2018-19,White Students [Public School] 2018-19,Black Students [Public School] 2018-19,Hispanic Students [Public School] 2018-19,Asian or Asian/Pacific Islander Students [Public School] 2018-19,American Indian/Alaska Native Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Location City [Public School] 2018-19
FRANKFORT-SCHUYLER CENTRAL HIGH SCHOOL,New York,NY ,Herkimer County,http://www.frankfort-schuyler.org,3158957461,1-Regular school,1-Yes,286,142,144,5,="0",270,4,4,3,="0",116,FRANKFORT
FRANKLIN ACADEMY,North Carolina,NC ,Wake County,http://www.franklinacademy.org/,9195708262,1-Regular school,1-Yes,1650,872,778,62,1,1369,82,74,58,4,31,Wake Forest
FRANKLIN ACADEMY HIGH SCHOOL,New York,NY ,Franklin County,†,5184837807,1-Regular school,1-Yes,684,359,325,5,1,662,7,4,2,3,350,MALONE
FRANKLIN ACADEMY PEMBROKE PINES HIGH SCHOOL,FLORIDA,FL ,Broward County,http://www.franklin-academy.org,9543150770,1-Regular school,1-Yes,799,424,375,17,="0",100,185,463,31,3,386,PEMBROKE PINES
FRANKLIN AREA JSHS,Pennsylvania,PA ,Venango County,†,8144322121,1-Regular school,1-Yes,843,429,414,20,1,780,19,11,9,3,363,Franklin
FRANKLIN BENJAMIN HS,Pennsylvania,PA ,Philadelphia County,†,2154007600,1-Regular school,1-Yes,420,264,156,12,="0",13,348,31,16,="0",419,Philadelphia
FRANKLIN CENTRAL HIGH SCHOOL,Indiana,IN ,Marion County,†,3178626646,1-Regular school,1-Yes,2819,1443,1376,169,1,2042,211,244,149,3,988,Indianapolis
FRANKLIN CENTRAL SCHOOL,New York,NY ,Delaware County,http://www.franklincsd.org,6078293025,1-Regular school,1-Yes,263,127,136,3,="0",240,6,9,3,2,124,FRANKLIN
FRANKLIN CO HIGH SCHOOL,Tennessee,TN ,Franklin County,http://fchs.fcstn.net,9319672821,1-Regular school,1-Yes,1305,689,616,12,2,1106,101,61,15,8,–,Winchester
FRANKLIN CO. SPECL. ED. COOP.,Missouri,MO ,Franklin County,†,6366293571,2-Special education school,1-Yes,130,97,33,10,="0",120,="0",="0",="0",="0",3,ST CLAIR
FRANKLIN COMMUNITY HIGH SCHOOL,Indiana,IN ,Johnson County,†,3177385700,1-Regular school,1-Yes,1590,802,788,59,2,1392,20,85,30,2,559,Franklin
FRANKLIN COUNTY EARLY COLLEGE,North Carolina,NC ,Franklin County,http://www.fcschools.net/franklincountyearlycollege,9194961055,1-Regular school,1-Yes,187,71,116,14,="0",87,46,34,5,1,78,Louisburg
FRANKLIN COUNTY HIGH,Indiana,IN ,Franklin County,†,7656474101,1-Regular school,1-Yes,764,392,372,7,†,743,2,7,5,†,297,Brookville
FRANKLIN COUNTY HIGH,Virginia,VA ,Franklin County,http://www.frco.k12.va.us,5404830221,1-Regular school,1-Yes,2083,1048,1035,112,2,1674,167,115,10,3,859,Rocky Mount
FRANKLIN COUNTY HIGH SCHOOL,Georgia,GA ,Franklin County,http://www.franklin.k12.ga.us,7063844525,1-Regular school,1-Yes,1068,538,530,20,="0",860,96,72,19,1,472,Carnesville
FRANKLIN COUNTY HIGH SCHOOL,Kentucky,KY ,Franklin County,†,5026956750,1-Regular school,1-Yes,967,473,494,48,†,682,120,90,27,†,480,Frankfort
FRANKLIN COUNTY SCHOOL,Florida,FL ,Franklin County,†,8506702800,1-Regular school,1-Yes,865,451,414,49,="0",663,96,57,="0",="0",681,EASTPOINT
FRANKLIN D ROOSEVELT H S,Texas,TX ,Dallas County,http://www.dallasisd.org/roosevelt,9729256800,1-Regular school,1-Yes,727,378,349,3,4,7,298,415,="0",="0",685,DALLAS
FRANKLIN D ROOSEVELT SENIOR HIGH SCHOOL,New York,NY ,Dutchess County,http://www.hpcsd.org,8452294020,1-Regular school,1-Yes,1225,606,619,39,2,810,165,182,26,1,545,HYDE PARK
FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,New York,NY ,Kings County,†,7186218800,1-Regular school,1-Yes,3186,1866,1320,20,21,536,329,1064,1202,14,2488,BROOKLYN
FRANKLIN H S,Texas,TX ,El Paso County,http://franklin.episd.org,9158326600,1-Regular school,1-Yes,2871,1449,1422,29,1,404,66,2307,61,3,1542,EL PASO
FRANKLIN H S,Texas,TX ,Robertson County,http://www.franklinisd.net,9798287100,1-Regular school,1-Yes,340,186,154,7,="0",250,26,53,4,="0",117,FRANKLIN
FRANKLIN HEIGHTS HIGH SCHOOL,Ohio,OH ,Franklin County,†,6148013200,1-Regular school,1-Yes,1349,686,663,82,1,625,333,279,29,="0",936,Columbus
FRANKLIN HIGH,Virginia,VA ,Franklin city,†,7575625187,1-Regular school,1-Yes,304,165,139,11,="0",44,238,10,1,="0",301,Franklin
FRANKLIN HIGH,Wisconsin,WI ,Milwaukee County,http://www.franklin.k12.wi.us,4144234640,1-Regular school,1-Yes,1564,804,760,65,2,1153,20,151,168,5,220,Franklin
FRANKLIN HIGH,Massachusetts,MA ,Norfolk County,http://www.franklinps.net/fhs,5085282600,1-Regular school,1-Yes,1749,873,875,38,7,1509,32,47,112,3,–,Franklin
FRANKLIN HIGH,Maryland,MD ,Baltimore County,http://franklinhs.bcps.org,4108871119,1-Regular school,1-Yes,1460,789,671,73,2,487,645,151,97,5,516,Reisterstown
FRANKLIN HIGH,California,CA ,San Joaquin County,†,2099337435,1-Regular school,1-Yes,2143,1125,1018,29,3,93,124,1740,117,37,1468,Stockton
FRANKLIN HIGH,North Carolina,NC ,Macon County,http://www.macon.k12.nc.us/fhs/,8285246467,1-Regular school,1-Yes,932,500,432,26,="0",756,6,137,5,2,433,Franklin
FRANKLIN HIGH,California,CA ,Sacramento County,†,9167148150,1-Regular school,1-Yes,2656,1431,1225,243,27,456,318,555,1051,6,940,Elk Grove
FRANKLIN HIGH SCHOOL,Ohio,OH ,Warren County,†,9377438610,1-Regular school,1-Yes,791,409,382,13,="0",750,15,5,6,2,303,Franklin
FRANKLIN HIGH SCHOOL,Washington,WA ,King County,†,2062526150,1-Regular school,1-Yes,1232,598,634,78,6,119,332,168,520,9,796,SEATTLE
FRANKLIN HIGH SCHOOL,Michigan,MI ,Wayne County,http://franklin.livoniapublicschools.org,7347442655,1-Regular school,1-Yes,1456,761,695,56,="0",1140,147,78,31,4,568,LIVONIA
FRANKLIN HIGH SCHOOL,Mississippi,MS ,Franklin County,†,6013842965,1-Regular school,1-Yes,357,177,180,4,†,197,151,†,2,3,260,Meadville
FRANKLIN HIGH SCHOOL,Tennessee,TN ,Williamson County,http://www.wcs.edu,6154724450,1-Regular school,1-Yes,1780,854,926,56,="0",1482,43,118,78,3,–,Franklin
FRANKLIN HIGH SCHOOL,Oregon,OR ,Multnomah County,http://www.pps.net/schools/franklin,5039165140,1-Regular school,1-Yes,1851,956,888,155,15,936,89,371,266,12,795,Portland
FRANKLIN HIGH SCHOOL,New Jersey,NJ ,Somerset County,http://www.franklinboe.org,7323024200,1-Regular school,1-Yes,2146,1118,1028,14,4,252,860,703,303,10,968,Somerset
FRANKLIN HIGH SCHOOL,New Hampshire,NH ,Merrimack County,http://www.franklin.k12.nh.us/franklinhigh.cfm,6039345441,1-Regular school,1-Yes,297,150,147,1,†,278,7,2,5,4,159,Franklin
FRANKLIN JR/SR HIGH SCHOOL,Illinois,IL ,Morgan County,†,2176752395,1-Regular school,1-Yes,217,114,103,6,†,206,1,†,†,4,72,Franklin
FRANKLIN LC,Pennsylvania,PA ,Philadelphia County,†,2154007570,1-Regular school,1-Yes,916,365,551,36,="0",68,472,244,95,1,916,Philadelphia
FRANKLIN LOCAL COMMUNITY SCHOOL,Ohio,OH ,Perry County,http://www.franklinlocalschools.org/schools/flcs/,7406977317,1-Regular school,1-Yes,48,30,18,1,="0",47,="0",="0",="0",="0",–,Roseville
FRANKLIN MILITARY ACADEMY,Virginia,VA ,Richmond city,†,8047804968,1-Regular school,1-Yes,379,216,163,6,="0",4,346,23,="0",="0",375,Richmond
FRANKLIN MONROE HIGH SCHOOL,Ohio,OH ,Darke County,†,9379471207,1-Regular school,1-Yes,325,143,182,7,="0",311,="0",1,6,="0",127,Arcanum
FRANKLIN PARISH HIGH SCHOOL,Louisiana,LA ,Franklin Parish,†,3184355676,1-Regular school,1-Yes,776,371,405,9,†,359,393,10,4,1,403,Winnsboro
FRANKLIN PIERCE HIGH SCHOOL,Washington,WA ,Pierce County,†,2532983800,1-Regular school,1-Yes,1149,594,555,124,44,479,105,289,103,5,795,TACOMA
FRANKLIN POLICE AND FIRE HIGH SCHOOL,Arizona,AZ ,Maricopa County,†,6027641100,1-Regular school,1-Yes,308,159,149,1,="0",12,7,283,2,3,273,PHOENIX
FRANKLIN REGIONAL SHS,Pennsylvania,PA ,Westmoreland County,†,7243275456,1-Regular school,1-Yes,1135,584,551,10,="0",985,19,26,94,1,119,Murrysville
FRANKLIN SECONDARY SCHOOL,Nebraska,NE ,Franklin County,†,3084256283,1-Regular school,1-Yes,123,59,64,1,="0",119,="0",3,="0",="0",63,FRANKLIN
FRANKLIN SENIOR HIGH SCHOOL,Louisiana,LA ,St. Mary Parish,†,3378280143,1-Regular school,1-Yes,327,166,161,6,†,53,247,18,2,1,220,Franklin
FRANKLIN TOWNE CHS,Pennsylvania,PA ,Philadelphia County,†,2152895000,1-Regular school,1-Yes,1222,582,640,26,9,803,129,233,21,1,780,Philadelphia
FRANKLIN VIRTUAL INSTRUCTION PROGRAM,Florida,FL ,Franklin County,http://flvsft.com,4075133587,1-Regular school,1-Yes,17,6,11,1,="0",16,="0",="0",="0",="0",9,EASTPOINT
FRANKLIN-ESSEX-HAMILTON BOCES,New York,NY ,Franklin County,http://www.fehb.org,5184836420,2-Special education school,1-Yes,39,24,15,1,1,35,="0",="0",1,1,21,MALONE
FRANKLIN-SIMPSON HIGH SCHOOL,Kentucky,KY ,Simpson County,†,2705863273,1-Regular school,1-Yes,834,397,437,25,†,666,90,44,6,3,445,Franklin
FRANKLINTON HIGH,North Carolina,NC ,Franklin County,http://www.fcschools.net/franklintonhighschool,9194942332,1-Regular school,1-Yes,1107,570,537,50,="0",572,336,141,7,1,462,Franklinton
FRANKLINTON HIGH SCHOOL,Louisiana,LA ,Washington Parish,†,9858396781,1-Regular school,1-Yes,848,437,411,6,1,566,233,35,4,3,381,Franklinton
FRANKLINTON PREPARATORY ACADEMY,Ohio,OH ,Franklin County,http://franklintonprep.org/,6146363721,1-Regular school,1-Yes,193,77,116,15,1,81,87,9,="0",="0",–,Columbus
FRANKLINVILLE JUNIOR-SENIOR HIGH SCHOOL,New York,NY ,Cattaraugus County,http://www.tbafcs.org,7166768060,1-Regular school,1-Yes,269,148,121,1,1,252,1,8,4,2,144,FRANKLINVILLE
FRANKSTON H S,Texas,TX ,Anderson County,http://www.frankstonisd.net,9038763219,1-Regular school,1-Yes,228,130,98,1,="0",192,15,16,2,2,99,FRANKSTON
FRANKTON JR-SR HIGH SCHOOL,Indiana,IN ,Madison County,†,7657547879,1-Regular school,1-Yes,766,411,355,28,†,697,8,32,1,†,318,Frankton
FRASER HIGH SCHOOL,Michigan,MI ,Macomb County,http://www.fraser.k12.mi.us/fps,5864397200,1-Regular school,1-Yes,1553,769,784,79,1,1195,187,52,36,3,590,FRASER
FRAZEE SECONDARY,Minnesota,MN ,Becker County,http://www.frazee.k12.mn.us,2183343181,1-Regular school,1-Yes,425,213,212,7,†,360,1,12,1,44,183,FRAZEE
FRAZER HIGH SCHOOL,Montana,MT ,Valley County,†,4066952241,1-Regular school,1-Yes,24,15,9,="0",="0",="0",="0",="0",="0",24,12,Frazer
FRAZIER HS,Pennsylvania,PA ,Fayette County,†,7247364426,1-Regular school,1-Yes,376,195,181,="0",1,363,6,4,2,="0",100,Perryopolis
FRAZIER MOUNTAIN HIGH,California,CA ,Kern County,†,6612480310,1-Regular school,1-Yes,263,121,142,10,†,137,2,105,5,4,154,Lebec
FRED C. BEYER HIGH,California,CA ,Stanislaus County,†,2095741647,1-Regular school,1-Yes,1654,863,791,140,20,644,53,698,92,7,912,Modesto
FRED J PAGE HIGH SCHOOL,Tennessee,TN ,Williamson County,http://www.wcs.edu,6154724730,1-Regular school,1-Yes,1149,580,569,34,†,994,32,44,43,2,–,Franklin
FRED T FOARD HIGH,North Carolina,NC ,Catawba County,http://www.catawbaschools.net/schools/Foard/default.aspx,7044621496,1-Regular school,1-Yes,889,473,416,40,1,669,30,82,66,1,319,Newton
FREDERIC 6-12 SCHOOL,Wisconsin,WI ,Polk County,http://www.frederic.k12.wi.us,7153274223,1-Regular school,1-Yes,203,107,96,1,†,189,7,1,1,4,116,Frederic
FREDERIC REMINGTON HIGH,Kansas,KS ,Butler County,http://www.usd206.org,3167992123,1-Regular school,1-Yes,168,83,85,7,†,134,2,14,2,9,57,Whitewater
FREDERICK DOUGLASS ACADEMY,New York,NY ,New York County,†,2124914107,1-Regular school,1-Yes,1270,693,577,19,1,32,857,334,15,12,985,NEW YORK
FREDERICK DOUGLASS ACADEMY FOR YOUNG MEN,MICHIGAN,MI ,Wayne County,†,3135963555,1-Regular school,1-Yes,140,140,="0",1,="0",="0",139,="0",="0",="0",112,DETROIT
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,New York,NY ,New York County,http://www.fda2.org,2128659260,1-Regular school,1-Yes,359,222,137,3,="0",7,220,117,8,4,294,NEW YORK
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,New York,NY ,Bronx County,†,7185389726,1-Regular school,1-Yes,411,231,180,5,="0",6,179,213,5,3,356,BRONX
FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,New York,NY ,Queens County,†,7184712154,1-Regular school,1-Yes,331,185,146,1,="0",2,168,148,4,8,248,FAR ROCKAWAY
FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,New York,NY ,Kings County,†,7184853789,1-Regular school,1-Yes,159,85,74,="0",="0",="0",134,20,3,2,141,BROOKLYN
FREDERICK DOUGLASS HIGH,Maryland,MD ,Baltimore city,http://www.baltimorecityschools.org/450,4103967821,1-Regular school,1-Yes,850,517,333,1,†,4,835,10,†,†,850,Baltimore
FREDERICK DOUGLASS HIGH,Maryland,MD ,Prince George's County,http://www.pgcps.org/~douglass,3019522400,1-Regular school,1-Yes,996,480,516,36,†,14,876,62,3,5,360,Upper Marlboro
FREDERICK DOUGLASS HIGH SCHOOL,KENTUCKY,KY ,Fayette County,†,8593813780,1-Regular school,1-Yes,1229,576,653,58,†,555,406,160,46,4,552,Lexington
FREDERICK DOUGLASS HIGH SCHOOL,Ohio,OH ,Cuyahoga County,http://www.fdhigh.org,2169615631,1-Regular school,1-Yes,52,22,30,1,="0",9,14,28,="0",="0",–,Cleveland
FREDERICK FRAIZE HIGH SCHOOL,Kentucky,KY ,Breckinridge County,†,2707883388,1-Regular school,1-Yes,121,65,56,1,†,116,3,1,†,†,81,Cloverport
FREDERICK HIGH,Maryland,MD ,Frederick County,http://www.fcps.org,2402367000,1-Regular school,1-Yes,1407,745,662,76,3,359,345,516,107,1,568,Frederick
FREDERICK HIGH SCHOOL - 01,South Dakota,SD ,Brown County,http://www.frederickarea.k12.sd.us,6053292145,1-Regular school,1-Yes,53,30,23,1,="0",50,="0",="0",1,1,9,Frederick
FREDERICK HS,Oklahoma,OK ,Tillman County,http://www.frederickbombers.net,5803355521,1-Regular school,1-Yes,230,110,120,2,†,88,19,110,2,9,165,Frederick
FREDERICK OLMSTED #156,New York,NY ,Erie County,http://www.buffaloschools.org,7168164330,1-Regular school,1-Yes,848,403,445,46,="0",286,311,104,94,7,393,BUFFALO
FREDERICK SENIOR HIGH SCHOOL,Colorado,CO ,Weld County,http://fhs.svvsd.org,3038333533,1-Regular school,1-Yes,1076,552,524,12,1,700,3,341,14,5,250,FREDERICK
FREDERICKSBURG H S,Texas,TX ,Gillespie County,http://www.FISD.org,8309977551,1-Regular school,1-Yes,999,545,454,7,="0",569,2,410,8,3,399,FREDERICKSBURG
FREDERICKTOWN HIGH,Missouri,MO ,Madison County,http://fpsk12.org,5737833628,1-Regular school,1-Yes,562,287,275,8,†,539,1,12,2,†,330,FREDERICKTOWN
FREDERICKTOWN HIGH SCHOOL,Ohio,OH ,Knox County,†,7406942726,1-Regular school,1-Yes,321,150,171,6,="0",309,="0",6,="0",="0",–,Fredericktown
FREDONIA HIGH SCHOOL,New York,NY ,Chautauqua County,http://www.fredonia.wnyric.org,7166791581,1-Regular school,1-Yes,466,265,201,12,="0",386,6,55,7,="0",143,FREDONIA
FREDONIA HIGH SCHOOL,Arizona,AZ ,Coconino County,†,9286437333,1-Regular school,1-Yes,86,42,44,6,="0",65,="0",3,7,5,55,Fredonia
FREDONIA JR./SR. HIGH SCHOOL,Kansas,KS ,Wilson County,http://www.fredoniaks.com,6203784172,1-Regular school,1-Yes,325,183,142,8,†,301,1,10,3,2,154,Fredonia
FREEBURG COMMUNITY HIGH SCH,Illinois,IL ,St. Clair County,†,6185395533,1-Regular school,1-Yes,655,342,313,14,†,622,3,11,3,2,92,Freeburg
FREEDOM ACRES SCHOOL,Michigan,MI ,Ionia County,http://www.ioniaisd.org,6165272921,2-Special education school,1-Yes,127,82,45,2,="0",117,3,5,="0",="0",62,IONIA
FREEDOM AREA SHS,Pennsylvania,PA ,Beaver County,†,7247757400,1-Regular school,1-Yes,434,225,209,18,1,402,2,9,1,1,134,Freedom
FREEDOM HIGH,Florida,FL ,Orange County,http://freedomhs.ocps.net/,4078165600,1-Regular school,1-Yes,3990,2026,1964,82,17,762,415,2466,235,13,2408,ORLANDO
FREEDOM HIGH,North Carolina,NC ,Burke County,http://www.burke.k12.nc.us/fhs/,8284331310,1-Regular school,1-Yes,1151,605,546,76,2,673,122,213,64,1,569,Morganton
FREEDOM HIGH,California,CA ,Contra Costa County,†,9256255900,1-Regular school,1-Yes,2589,1336,1253,48,14,846,295,1163,211,12,1014,Oakley
FREEDOM HIGH,Wisconsin,WI ,Outagamie County,http://www.freedomschools.k12.wi.us,9207887940,1-Regular school,1-Yes,535,279,256,12,†,498,2,10,6,7,72,Freedom
FREEDOM HIGH,Virginia,VA ,Prince William County,†,7035831405,1-Regular school,1-Yes,2276,1203,1073,74,2,117,643,1307,125,8,1592,Woodbridge
FREEDOM HIGH,Virginia,VA ,Loudoun County,†,7039574300,1-Regular school,1-Yes,2073,1023,1050,105,1,991,121,196,650,9,176,South Riding
FREEDOM HIGH SCHOOL,Florida,FL ,Hillsborough County,†,8135581185,1-Regular school,1-Yes,1935,1019,916,72,3,585,493,700,80,2,1243,TAMPA
FREEDOM HS,Pennsylvania,PA ,Northampton County,http://www.beth.k12.pa.us,6108675843,1-Regular school,1-Yes,1956,1029,927,30,1,930,200,713,78,4,710,Bethlehem
FREEDOM HS,Oklahoma,OK ,Woods County,http://www.freedom.k12.ok.us,5806213272,1-Regular school,1-Yes,28,13,15,="0",†,23,†,2,1,2,10,Freedom
FREEDOM PREP CHARTER SCHOOL,New Jersey,NJ ,Camden County,†,8569620766,1-Regular school,1-Yes,879,455,424,13,8,11,376,469,†,2,614,CAMDEN
FREEDOM PREPARATORY ACADEMY,Utah,UT ,Utah County,http://www.pfa.cc,8014373100,1-Regular school,1-Yes,1313,657,656,53,11,666,8,545,27,3,584,PROVO
FREEDOM PREPARATORY ACADEMY,Tennessee,TN ,Shelby County,http://freedomprep.org,9018811149,1-Regular school,1-Yes,672,316,356,3,†,1,604,63,†,1,–,Memphis
FREEHOLD BOROUGH HIGH SCHOOL,New Jersey,NJ ,Monmouth County,http://www.frhsd.com/freehold,7324318360,1-Regular school,1-Yes,1422,777,645,11,3,707,118,455,128,†,383,FREEHOLD
FREEHOLD TOWNSHIP HIGH SCHOOL,New Jersey,NJ ,Monmouth County,http://www.frhsd.com/freeholdtwp,7324318460,1-Regular school,1-Yes,2043,1000,1043,19,6,1548,96,240,134,†,219,FREEHOLD TWP.
FREELAND MIDDLE SCHOOLHIGH SCHOOL,Michigan,MI ,Saginaw County,http://www.freelandschools.net,9896952586,1-Regular school,1-Yes,877,455,422,8,="0",836,5,20,7,1,126,FREELAND
FREEMAN HIGH,Virginia,VA ,Henrico County,†,8046733700,1-Regular school,1-Yes,1836,953,883,72,2,1173,226,226,134,3,565,Richmond
FREEMAN HIGH SCHOOL,Nebraska,NE ,Gage County,†,4029882525,1-Regular school,1-Yes,187,95,92,2,="0",185,="0",="0",="0",="0",32,ADAMS
FREEMAN HIGH SCHOOL,Washington,WA ,Spokane County,†,5092913721,1-Regular school,1-Yes,303,148,155,4,†,264,4,25,6,†,57,Rockford
FREEMAN HIGH SCHOOL - 01,South Dakota,SD ,Hutchinson County,http://freeman.k12.sd.us,6059254214,1-Regular school,1-Yes,81,31,50,1,="0",76,1,3,="0",="0",8,Freeman
FREEPORT AREA SHS,Pennsylvania,PA ,Butler County,http://www.freeport.k12.pa.us,7242955143,1-Regular school,1-Yes,575,308,267,="0",2,563,5,2,2,1,157,Freeport
FREEPORT HIGH SCHOOL,New York,NY ,Nassau County,http://www.freeportschools.org,5168675300,1-Regular school,1-Yes,2177,1094,1083,20,3,110,566,1454,17,7,1209,FREEPORT
FREEPORT HIGH SCHOOL,Maine,ME ,Cumberland County,†,2078654706,1-Regular school,1-Yes,582,301,281,7,†,536,6,11,21,1,128,Freeport
FREEPORT HIGH SCHOOL,Illinois,IL ,Stephenson County,†,8152320400,1-Regular school,1-Yes,1151,588,563,133,3,611,271,120,11,2,694,Freeport
FREEPORT SENIOR HIGH SCHOOL,Florida,FL ,Walton County,http://fhs.walton.k12.fl.us/,8508921200,1-Regular school,1-Yes,468,237,231,37,="0",359,14,51,7,="0",240,FREEPORT
FREER H S,Texas,TX ,Duval County,http://www.freerisd.org,3613946025,1-Regular school,1-Yes,236,124,112,="0",="0",26,="0",208,2,="0",179,FREER
FREIRE CHARTER SCHOOL,DELAWARE,DE ,New Castle County,http://www.freirewilmington.org/,3024074800,1-Regular school,1-Yes,479,228,251,20,1,46,340,64,6,2,–,Wilmington
FREIRE CS,Pennsylvania,PA ,Philadelphia County,http://www.freirecharterschool.org,2155578555,1-Regular school,1-Yes,995,387,608,38,="0",2,929,22,2,2,992,Philadelphia
FREMONT ACADEMY OF ENGINEERING AND DESIGN,California,CA ,Los Angeles County,http://www.pusd.org,9093974521,1-Regular school,1-Yes,738,385,353,2,†,6,16,695,19,†,715,Pomona
FREMONT HIGH,California,CA ,Alameda County,†,5104345257,1-Regular school,1-Yes,771,404,367,20,27,15,152,515,40,2,728,Oakland
FREMONT HIGH,Utah,UT ,Weber County,http://www.fhs.weber.k12.ut.us,8014524000,1-Regular school,1-Yes,2004,989,1015,33,12,1792,18,132,12,5,303,PLAIN CITY
FREMONT HIGH,California,CA ,Santa Clara County,†,4085222400,1-Regular school,1-Yes,2081,1093,988,115,13,388,33,838,690,4,644,Sunnyvale
FREMONT HIGH SCHOOL,Indiana,IN ,Steuben County,†,2604959876,1-Regular school,1-Yes,298,155,143,6,†,283,2,7,†,†,107,Fremont
FREMONT HIGH SCHOOL,Michigan,MI ,Newaygo County,http://www.fremont.net,2319245300,1-Regular school,1-Yes,692,356,336,1,="0",628,8,36,16,3,291,Fremont
FREMONT ROSS HIGH SCHOOL,Ohio,OH ,Sandusky County,†,4193328221,1-Regular school,1-Yes,1091,584,507,79,1,645,91,267,4,4,553,Fremont
FREMONT SENIOR HIGH SCHOOL,Nebraska,NE ,Dodge County,†,4027273050,1-Regular school,1-Yes,1487,775,712,18,1,991,20,437,12,8,781,FREMONT
FREMONT-MILLS MIDDLE AND SENIOR HIGH SCHOOL,Iowa,IA ,Fremont County,http://www.fmtabor.k12.ia.us/00-01/hs/index.htm,7126292325,1-Regular school,1-Yes,206,112,94,3,†,190,1,12,†,†,69,Tabor
FRENCH SETTLEMENT HIGH SCHOOL,Louisiana,LA ,Livingston Parish,†,2256983561,1-Regular school,1-Yes,396,203,193,4,†,374,9,8,1,†,81,French Settlement
FRENCHTOWN HIGH SCHOOL,Montana,MT ,Missoula County,http://www.ftsd.org,4066262670,1-Regular school,1-Yes,382,185,197,9,="0",346,1,10,7,9,123,Frenchtown
FRENSHIP H S,Texas,TX ,Lubbock County,†,8068664440,1-Regular school,1-Yes,2683,1300,1383,82,4,1337,86,1078,86,10,886,WOLFFORTH
FRESH START TREATMENT & LEARNING,Illinois,IL ,Effingham County,†,2173426161,2-Special education school,1-Yes,57,51,6,2,†,55,†,†,†,†,35,Effingham
FRESNO COUNTY SPECIAL EDUCATION LOCAL PLAN AREA,California,CA ,Fresno County,http://www.fcoe.org,5592653049,2-Special education school,1-Yes,604,385,219,7,1,81,25,445,40,5,440,Fresno
FRESNO HIGH,California,CA ,Fresno County,†,5594572780,1-Regular school,1-Yes,2154,1131,1023,27,8,192,190,1601,119,17,1932,Fresno
FREWSBURG JUNIOR-SENIOR HIGH SCHOOL,New York,NY ,Chautauqua County,http://www.frewsburgcsd.org,7165697037,1-Regular school,1-Yes,383,190,193,7,1,359,2,8,2,4,144,FREWSBURG
FRIDAY HARBOR HIGH SCHOOL,Washington,WA ,San Juan County,http://www.sjisd.wednet.edu/fhhs,3603785215,1-Regular school,1-Yes,246,121,125,7,†,193,†,38,7,1,97,FRIDAY HARBOR
FRIDLEY SENIOR HIGH,Minnesota,MN ,Anoka County,†,7635025601,1-Regular school,1-Yes,886,472,414,58,†,319,329,90,75,15,507,FRIDLEY
FRIEND HIGH SCHOOLS,Nebraska,NE ,Saline County,†,4029472781,1-Regular school,1-Yes,103,49,54,2,="0",93,3,3,2,="0",41,FRIEND
FRIENDLY HIGH,Maryland,MD ,Prince George's County,http://www.pgcps.org/~friendly,3014494900,1-Regular school,1-Yes,834,443,391,18,3,10,616,163,24,†,433,Fort Washington
FRIENDSHIP CENTRAL SCHOOL,New York,NY ,Allegany County,http://www.friendship.wnyric.org,5859733311,1-Regular school,1-Yes,315,157,158,15,="0",294,2,4,="0",="0",219,FRIENDSHIP
FRIENDSHIP PCS - COLLEGIATE ACADEMY,District of Columbia,DC ,District of Columbia,http://www.friendshipschools.org,2023965500,1-Regular school,1-Yes,553,278,275,†,†,1,546,6,†,†,–,Washington
FRIENDSHIP PCS - TECHNOLOGY PREPARATORY HS,DISTRICT OF COLUMBIA,DC ,District of Columbia,http://www.friendshipschools.org,2025525700,1-Regular school,1-Yes,270,133,137,†,†,†,268,2,†,†,–,Washington
FRIENDSWOOD H S,Texas,TX ,Galveston County,†,2814823413,1-Regular school,1-Yes,2098,1082,1016,54,6,1478,41,367,144,8,156,FRIENDSWOOD
FRIONA H S,Texas,TX ,Parmer County,http://www.frionaisd.com,8062503951,1-Regular school,1-Yes,310,153,157,1,="0",26,1,280,1,1,188,FRIONA
